
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x04","0x06","0x08","0x09","0x0A","0x0B","0x51","0x52","0x54","0x56","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x87","0x9C","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","PUSHBYTES1","4","6","8","9","10","11","PUSH1","PUSH2","PUSH4","PUSH6","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","EQUAL","NUMEQUAL","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"Unknown.cs","0","// No source code available","11","5","1","2","2","1","1","1","1","13","2","2","1","2","2","2","2","2","2","2","1","7","2","10","1","2","34","34","2","32","13","8","2","19","13","2"
"","","Tally by Opcode>","11","5","1","2","2","1","1","1","1","13","2","2","1","2","2","2","2","2","2","2","1","7","2","10","1","2","34","34","2","32","13","8","2","19","13","2"
"","","Total Tally>","239"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x04","0x06","0x08","0x09","0x0A","0x0B","0x51","0x52","0x54","0x56","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x87","0x9C","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","PUSHBYTES1","4","6","8","9","10","11","PUSH1","PUSH2","PUSH4","PUSH6","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","EQUAL","NUMEQUAL","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"Unknown.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.01","0","0.002","0.034","0.034","0.002","0.032","0.013","0.008","0.002","0.019","0.013","0.002"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.01","0","0.002","0.034","0.034","0.002","0.032","0.013","0.008","0.002","0.019","0.013","0.002"
"","","Total Cost>","0.173"
